Column Names,Data Type,Valid Values,Missing Values,Max String Length,Min String Length,Oldest Date,Newest Date,Min,Max,Mean,Median,Mode,Standard Deviation,Skew,Sum,first quartile (25%),second quartile (50%),third quartile (75 %),interquartile range,Variance,Kurtosis,Mean absolute deviation
IMSI,Int64,162,0,0,0,0,0,901600000000053,901600000001400,901600000000822.5,901600000001017.0,901600000000876.0,480.0590705112489,-0.44940107217197384,1.4605920000013328e+17,901600000000281.5,901600000001017.0,901600000001248.8,967.25,230456.71118012423,-1.4566697591450566,431.8333333333333
Sold To: Account Reference,string,162,0,14,14,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
Sold To: Account Name,string,162,0,35,9,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
End Customer Name: End Customer Reference,string,162,0,13,13,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
End Customer Name: End Customer Name,object,162,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
Line Item Id,string,162,0,13,13,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
Status,string,162,0,9,7,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
Actual Activation Date,datetime64[ns],149,13,0,0,2021-12-10 00:00:00,2022-05-24 00:00:00,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
Site: Name,string,162,0,10,10,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
Site Name,string,162,0,43,3,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
GeoLocation,Int64,0,162,0,0,0,0,,,,,0.0,,,0.0,,,,,,,
Interconnect ID,string,162,0,13,13,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
Network Slice ID,string,159,3,13,13,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
Site Connectivity ID,string,159,3,13,13,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
Old APN: APN Name,string,92,70,31,25,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
IMEI,Int64,162,0,0,0,0,0,35155411002055,351602004120646,347648248867723.56,351554110001741.0,351554110001295.0,35046096003337.926,-8.915230018514636,5.631901631657122e+16,351554110000861.0,351554110001741.0,351554110003424.0,2563.0,1.2282288450751784e+27,78.44976374676186,7715872539892.737
Site Connectivity,string,157,5,15,5,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
Product Item: Product Name,string,162,0,40,13,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
FWD,Int64,157,5,0,0,0,0,15,125,64.87261146496816,75.0,75.0,18.370728568473663,-0.3761104954774787,10185.0,50.0,75.0,75.0,25.0,337.48366813653445,0.41805567570179747,15.50935129214166
RTN,Int64,157,5,0,0,0,0,3,25,12.97452229299363,15.0,15.0,3.674145713694733,-0.3761104954774769,2037.0,10.0,15.0,15.0,5.0,13.499346725461377,0.41805567570179747,3.1018702584283315
Service Grade,string,157,5,9,4,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
BE,float64,157,5,0,0,0,0,0.0,90.0,26.69808917197452,12.0,12.0,30.04885439033381,1.4047611795881225,4191.599999999999,12.0,12.0,18.0,6.0,902.9336501714835,0.4022785995641658,23.53083695078908
EF,Int64,157,5,0,0,0,0,0,24,1.624203821656051,0.0,0.0,5.429518102924541,3.2903689595840357,255.0,0.0,0.0,0.0,0.0,29.4796668299853,9.602178532510473,2.9587407197046587
AF,Int64,157,5,0,0,0,0,0,36,2.2356687898089174,0.0,0.0,8.001714661909798,3.4802907832852474,351.0,0.0,0.0,0.0,0.0,64.02743753062224,10.763490608114319,4.129579293277606
Product: Charge Category,string,162,0,21,12,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
