Unique Values,Counts
35155411000433,5
35155411000458,5
35155411000462,5
35155411000100,4
35155411000184,4
35155411000454,4
35155411000329,4
35155411000020,4
35155411000321,4
35155411000016,4
35155411000014,4
35155411000036,4
35155411000086,4
35155411000413,3
35155411000359,2
35155411002055,2
35155411001054,2
35155411001055,2
35155411000024,2
35155411000174,2
35155411000522,2
35155411002054,2
35155411000105,2
35155411000215,2
35155411000070,2
35155411000060,2
35155411000271,1
35155411000164,1
35155411000246,1
35155411000146,1
35155411000273,1
35155411000231,1
35155411000158,1
35155411000224,1
35155411000097,1
35155411000342,1
35155411000288,1
35155411000072,1
35155411000050,1
35155411000068,1
35155411000058,1
35155411001088,1
35155411000065,1
35155411000099,1
